native_exec_time,mt1_exec_time,mt2_exec_time,mt1_overhead,mt2_overhead
133576,173104,147178,29.5921,10.183
58669,72547,59873,23.6547,2.05219
46557,54459,43404,16.9727,-6.77234
43214,57600,44655,33.2901,3.33457
300247,371944,309024,23.8793,2.92326
225965,293421,227929,29.8524,0.869161
158220,194997,163167,23.2442,3.12666
75526,96130,79945,27.2807,5.85097
61323,80894,64372,31.9146,4.97203
53291,74712,60438,40.1963,13.4113
241512,313571,249718,29.8366,3.39776
202622,258165,226579,27.4121,11.8235
116579,146334,118466,25.5235,1.61864
31407,41918,33424,33.4671,6.42214
93815,123350,98164,31.4822,4.63572
340465,428117,331757,25.7448,-2.55768
178721,263741,265269,47.5714,48.4263
168141,273892,152276,62.8942,-9.43553
247769,395341,270869,59.5603,9.3232
53633,50923,33524,-5.05286,-37.4937
44298,55666,43015,25.6626,-2.89629
210321,233085,174610,10.8235,-16.9793
93129,124271,100962,33.4396,8.41091
46947,57797,47982,23.1112,2.20461
310530,419603,311683,35.1248,0.371301
225360,281538,226023,24.9281,0.294196
136580,172169,147706,26.0573,8.14614
67075,89655,78889,33.6638,17.6131
48126,45228,47544,-6.02169,-1.20933
27532,32926,26285,19.5917,-4.52928
320347,332726,237876,3.86425,-25.7443
256655,376928,290395,46.8617,13.1461
101069,154544,101863,52.9094,0.785602
291214,369313,345989,26.8184,18.8092
247503,429589,316173,73.5692,27.7451
213164,263738,192133,23.7254,-9.86611
146731,162873,164220,11.0011,11.9191
45136,52716,33547,16.7937,-25.6757
202562,272707,213554,34.6289,5.42649
179127,229645,218964,28.2023,22.2395
96546,131609,103110,36.3174,6.79883
137001,181929,145413,32.7939,6.1401
46861,67461,50786,43.9598,8.37583
71244,88115,78647,23.6806,10.3911
231577,303885,252349,31.2242,8.9698
185697,231392,193325,24.6073,4.10777
56024,70400,53348,25.6604,-4.77652
51015,67172,53149,31.6711,4.18308
92569,128338,101196,38.6404,9.31953
72019,94191,79071,30.7863,9.79186
278871,385886,289184,38.3744,3.69813
250171,323780,268865,29.4235,7.47249
84815,108896,88987,28.3924,4.91894
57815,81024,61170,40.1436,5.80299
291101,388140,342535,33.3352,17.6688
139422,174020,144810,24.8153,3.86453
187540,244293,199413,30.2618,6.33092
99760,140763,98897,41.1016,-0.865076
32714,41189,33489,25.9063,2.36902
40425,42009,37854,3.91837,-6.35993
61830,83557,65232,35.1399,5.50218
65344,86087,72119,31.7443,10.3682
196872,252958,202382,28.4886,2.79877
160950,201522,169189,25.2078,5.11898
139607,183590,148178,31.5049,6.13938
56159,76937,57951,36.9985,3.19094
219105,280952,219999,28.2271,0.408024
232768,312080,247743,34.0734,6.43344
149996,191412,158265,27.6114,5.51281
44304,53711,43336,21.2328,-2.1849
41976,52826,42145,25.8481,0.402611
42102,55112,43331,30.9011,2.9191
42137,53414,42811,26.7627,1.59954
29829,37964,35254,27.2721,18.187
28539,39477,34672,38.3265,21.4899
29821,40862,31451,37.0242,5.46595
255703,333553,266220,30.4455,4.11297
159207,196149,159872,23.2038,0.417695
69184,89973,71970,30.0489,4.02694
57320,73368,57988,27.9972,1.16539
151516,187624,149889,23.8311,-1.07381
98407,131024,104887,33.145,6.5849
198553,256685,224274,29.2778,12.9542
173837,234126,191224,34.6813,10.0019
86293,106839,83810,23.8096,-2.87741
159443,197526,173625,23.885,8.89471
69832,105495,70861,51.0697,1.47354
266263,332167,271670,24.7515,2.0307
221172,282641,236362,27.7924,6.86796
151690,210886,153288,39.0243,1.05346
92807,121217,97588,30.6119,5.15155
27691,38429,34400,38.7779,24.2281
30792,38697,30021,25.6723,-2.5039
213009,265057,207293,24.4346,-2.68345
235875,322429,246138,36.6949,4.35103
108032,147586,111644,36.6132,3.34345
70371,85230,64439,21.1152,-8.42961
72632,93670,74050,28.9652,1.95231
61680,80502,64660,30.5156,4.83139
61764,79716,63193,29.0655,2.31365
65172,76193,61099,16.9106,-6.24962
219923,280383,229071,27.4914,4.15964
205124,273510,209701,33.3389,2.23133
114288,140418,113770,22.8633,-0.453241
93437,112954,89648,20.8879,-4.05514
204928,271849,239473,32.6559,16.8571
249200,318776,259116,27.9197,3.97913
76974,100369,78244,30.3934,1.64991
121218,157033,131843,29.5459,8.7652
247553,315332,251366,27.3796,1.54028
220116,288223,223217,30.9414,1.4088
186478,249348,200654,33.7144,7.60197
96319,131004,103296,36.0105,7.24364
98318,134627,101975,36.9302,3.71956
58066,81170,60591,39.7892,4.3485
233273,346609,235536,48.5851,0.970108
150772,200973,162737,33.296,7.93582
54846,79367,59303,44.7088,8.12639
59294,77119,58879,30.0621,-0.699902
150478,200403,158974,33.1776,5.64601
245832,319613,259421,30.0128,5.52776
143090,184729,147983,29.0999,3.41953
163157,205294,171403,25.826,5.05403
113758,144945,119197,27.4152,4.7812
89571,112692,91245,25.813,1.86891
244644,325575,266510,33.0811,8.93789
247314,322012,261438,30.2037,5.71096
136207,175816,161256,29.08,18.3904
224621,303474,235830,35.1049,4.99018
265354,353361,283408,33.1659,6.80374
118338,154094,120327,30.2151,1.68078
82707,105325,85363,27.3471,3.21134
84920,111869,89083,31.7346,4.90226
51789,77453,53660,49.5549,3.61274
52739,71621,53383,35.8027,1.22111
59891,76477,60521,27.6936,1.05191
154516,203674,161656,31.8142,4.62088
246084,329338,258909,33.8315,5.21164
63251,88613,64393,40.0974,1.80551
35284,42147,34650,19.4507,-1.79685
32998,42166,34851,27.7835,5.61549
29353,36432,29589,24.1168,0.804006
28325,36543,29005,29.0132,2.40071
28561,35700,28862,24.9956,1.05388
35482,46307,36354,30.5084,2.45758
35767,46188,37527,29.1358,4.92074
218664,309575,230171,41.5757,5.26241
215179,298461,258788,38.7036,20.2664
147969,203073,152469,37.2402,3.04118
244151,317335,250699,29.9749,2.68195
219713,289079,227854,31.5712,3.70529
147444,195571,154460,32.6409,4.75842
113038,139951,124650,23.8088,10.2727
81610,105278,88670,29.0013,8.6509
99412,133245,106792,34.0331,7.42365
281620,365128,293088,29.6527,4.07215
122255,163398,126572,33.6534,3.53114
142967,186632,154422,30.542,8.01234
79515,106005,89209,33.3145,12.1914
78333,102554,84416,30.9206,7.76556
83120,106296,84853,27.8826,2.08494
67445,95955,73372,42.2715,8.7879
224294,289619,231298,29.1247,3.12269
216965,271326,214104,25.0552,-1.31865
330030,428468,383754,29.827,16.2785
240929,335112,256059,39.0916,6.27986
72959,92892,70297,27.3208,-3.64862
162686,218237,179556,34.1461,10.3697
72524,93621,72993,29.0897,0.646682
46228,64699,50065,39.9563,8.30016
48404,61028,48289,26.0805,-0.237584
32513,42873,34524,31.8642,6.18522
32900,47353,33240,43.9301,1.03343
45512,68226,49878,49.9077,9.59307
48879,68149,49957,39.4239,2.20545
220926,265794,205480,20.3091,-6.99148
172497,219729,187124,27.3813,8.47957
49857,60512,49321,21.3711,-1.07507
81982,113010,82698,37.8473,0.873362
246466,332275,259835,34.8158,5.42428
226989,293046,232592,29.1014,2.4684
135830,169932,143943,25.1064,5.97291
43483,57902,45157,33.1601,3.84978
42277,60582,50279,43.2978,18.9275
29395,40361,26296,37.3057,-10.5426
27366,34913,30058,27.578,9.83702
270465,355459,298179,31.4251,10.2468
121285,150654,122203,24.2149,0.756895
124875,159329,128351,27.5908,2.78358
98043,133384,110727,36.0464,12.9372
93736,123527,89653,31.7818,-4.35585
64209,90141,65960,40.3869,2.72703
254275,336971,256997,32.5223,1.07049
239556,315313,248762,31.6239,3.84294
136460,177038,166627,29.7362,22.1068
35306,42486,33815,20.3365,-4.22308
33560,43260,47192,28.9035,40.6198
232347,311181,245289,33.9294,5.57012
262227,334788,280202,27.6711,6.85475
141725,188881,154431,33.2729,8.96525
263887,329500,271809,24.8641,3.00204
236873,301853,239025,27.4324,0.908504
198038,246329,206157,24.3847,4.09972
112556,146882,110504,30.4968,-1.82309
95213,124171,100457,30.4139,5.50765
232728,304809,256332,30.9722,10.1423
190443,230898,171553,21.2426,-9.91898
87986,112912,87775,28.3295,-0.239811
175032,210769,161681,20.4174,-7.62775
63631,79262,67787,24.5651,6.53141
53862,71978,56027,33.6341,4.01953
285415,374643,270527,31.2625,-5.21626
220932,291470,242221,31.9275,9.636
43437,61370,44440,41.2851,2.30909
94098,132323,104295,40.6225,10.8366
102391,135879,105863,32.706,3.39092
191536,250056,198750,30.553,3.76639
178185,235946,185564,32.4163,4.1412
170491,214950,170217,26.077,-0.160712
139870,183320,145408,31.0646,3.95939
230233,291926,223953,26.7959,-2.72767
142670,197145,157127,38.1825,10.1332
138701,174595,132893,25.8787,-4.18742
30521,43786,32430,43.4619,6.25471
32679,43679,36724,33.6608,12.378
36609,46186,34865,26.1602,-4.76386
49389,59243,73179,19.9518,48.1686
44413,63708,51865,43.4445,16.7789
257524,335232,281484,30.1751,9.30399
266329,362072,284430,35.9491,6.79648
137422,178228,148084,29.6939,7.75858
43671,56906,45630,30.3062,4.48581
79948,58551,51141,-26.7636,-36.0322
243077,314782,244394,29.4989,0.541804
124089,159451,129685,28.4973,4.50967
188220,255938,203854,35.9781,8.30624
174060,221927,186645,27.5003,7.23027
267735,356360,290889,33.1018,8.6481
34234,52161,50239,52.3661,46.7518
233935,309694,245372,32.3846,4.88896
84242,110976,96661,31.7348,14.7421
67764,85548,67559,26.244,-0.302521
134509,182804,141736,35.9047,5.37287
42742,61083,46087,42.911,7.82603
41214,52979,45009,28.5461,9.20804
44501,59917,63679,34.6419,43.0957
44750,60921,47765,36.1363,6.73743
181070,228034,180018,25.9369,-0.580991
109041,141346,130953,29.6265,20.0952
169596,220837,169972,30.2136,0.221703
26706,37353,28618,39.8674,7.15944
58039,81953,62341,41.2033,7.41226
66430,95117,90747,43.1838,36.6054
263093,401187,288901,52.4887,9.80946
235777,293142,236379,24.3302,0.255326
108572,146609,106924,35.0339,-1.51789
153077,164384,139351,7.38648,-8.96673
28265,41576,32794,47.0936,16.0234
25885,34116,25915,31.7983,0.115897
25746,34339,27340,33.3761,6.19125
233781,329098,246104,40.7719,5.27117
180013,242692,190884,34.8192,6.03901
30578,39747,36929,29.9856,20.7698
30810,39402,43320,27.887,40.6037
31027,45028,32443,45.1252,4.56377
70717,94026,73565,32.961,4.02732
233044,321974,295447,38.1602,26.7773
168323,218602,166524,29.8705,-1.06878
139722,175532,151060,25.6295,8.11468
110893,141147,115970,27.2822,4.57829
29130,39764,31151,36.5053,6.93786
33707,41953,33272,24.4638,-1.29053
62687,83473,69348,33.1584,10.6258
256126,351603,279882,37.2774,9.27512
102402,134584,121754,31.4271,18.8981
170353,227309,176837,33.4341,3.80621
185525,225386,208506,21.4855,12.387
43426,60396,49455,39.078,13.8834
41714,55414,39930,32.8427,-4.27674
256407,454354,340013,77.2003,32.6068
119689,152010,131351,27.0042,9.74359
93991,121406,104259,29.1677,10.9245
56522,68620,53616,21.4041,-5.14136
281178,353717,282658,25.7982,0.526357
192688,250764,203570,30.1399,5.64747
74489,109551,81933,47.07,9.99342
74396,98705,75167,32.6751,1.03635
140582,206397,159641,46.8161,13.5572
225610,292980,235790,29.8613,4.51221
245618,291857,233852,18.8256,-4.79037
194092,271098,262142,39.675,35.0607
29500,35019,26352,18.7085,-10.6712
283068,370809,307179,30.9964,8.51774
236897,309571,249941,30.6775,5.50619
155388,199853,162034,28.6155,4.27704
128717,161905,126748,25.7837,-1.52971
37382,48893,36920,30.7929,-1.23589
33730,49047,35264,45.4106,4.54788
244549,305505,237631,24.9259,-2.82888
201355,258917,203621,28.5873,1.12538
109978,140002,106409,27.3,-3.24519
26426,36883,29095,39.5709,10.0999
27860,39160,28718,40.5599,3.07968
85494,108943,86485,27.4277,1.15915
64101,92337,67950,44.0492,6.00459
67629,91304,70665,35.0072,4.4892
66975,84833,66919,26.6637,-0.0836133
153461,202202,162510,31.7612,5.89661
161142,248641,262921,54.2993,63.1611
61237,82027,68676,33.9501,12.1479
53561,81119,57636,51.4516,7.60815
43460,70324,50163,61.8132,15.4234
97377,141987,107818,45.8116,10.7222
34759,43104,35173,24.0082,1.19106
190708,274693,198807,44.0385,4.24681
192162,349083,237277,81.6608,23.4776
91417,120087,113795,31.3618,24.479
169183,248209,190365,46.7104,12.5202
281273,401298,317236,42.6721,12.7858
158775,212107,157852,33.5897,-0.581326
63739,85147,91512,33.587,43.573
62107,81919,64575,31.8998,3.97379
55417,69316,53227,25.0808,-3.95186
127512,154642,119591,21.2764,-6.21196
39869,41898,38035,5.08917,-4.60007
41299,47616,40206,15.2958,-2.64655
35969,50507,37280,40.4181,3.64481
36478,47801,37256,31.0406,2.13279
271303,355061,300263,30.8725,10.6744
144016,183506,144871,27.4206,0.593684
63364,80171,68057,26.5245,7.40641
59883,77602,60694,29.5894,1.35431
42158,54122,42932,28.379,1.83595
238549,325008,250448,36.2437,4.98807
157241,214919,175094,36.6813,11.3539
139550,172227,131971,23.416,-5.43103
66794,91222,76562,36.5721,14.6241
69039,85717,74523,24.1574,7.94334
107794,142518,123710,32.2133,14.7652
213222,281193,220979,31.878,3.63799
253112,330122,262189,30.4253,3.58616
86809,122963,93918,41.6478,8.18924
77039,103976,77956,34.9654,1.19031
239903,312198,261975,30.1351,9.20039
44189,48654,46011,10.1043,4.1232
36377,46467,38688,27.7373,6.35292
36994,46127,39943,24.6878,7.97156
102964,133309,106991,29.4715,3.91108
136860,193348,161529,41.2743,18.025
149302,189862,163631,27.1664,9.59733
99237,175481,119655,76.8302,20.575
267416,367503,309981,37.4275,15.9171
172089,231437,178974,34.4868,4.00084
72803,97782,77627,34.3104,6.6261
72089,96111,77398,33.3227,7.36451
35609,51049,40591,43.3598,13.9908
39335,47784,41684,21.4796,5.97178
41073,59300,42101,44.3771,2.50286
40758,62153,41074,52.4928,0.775308
45984,60737,47462,32.0829,3.21416
272999,372763,294738,36.5437,7.96303
155184,197878,157677,27.5119,1.60648
159165,208133,167067,30.7656,4.96466
90619,124785,92295,37.7029,1.8495
56129,73276,58667,30.5493,4.52173
249705,323432,274386,29.5256,9.88406
168156,223143,168372,32.7,0.128452
127314,176323,134767,38.4946,5.85403
44977,58206,46104,29.4128,2.50573
45754,58908,46976,28.7494,2.6708
298327,391431,359044,31.2087,20.3525
267950,335899,212812,25.3588,-20.5777
89574,118905,92176,32.745,2.90486
48138,63748,57669,32.4276,19.7993
271178,325950,275374,20.1978,1.54732
180109,223535,186007,24.111,3.27468
202796,276945,209736,36.5633,3.42216
138415,204788,142351,47.9522,2.84362
114194,148560,109732,30.0944,-3.90739
238418,296029,230550,24.1639,-3.30009
114112,152298,122807,33.4636,7.61971
173101,225310,170177,30.161,-1.68919
106368,136034,111988,27.89,5.28354
278537,334461,263024,20.0778,-5.56946
55604,63558,55206,14.3047,-0.715776
215430,296548,229958,37.654,6.74372
121414,163820,132620,34.9268,9.22958
116761,148750,116625,27.397,-0.116477
87494,114293,94667,30.6295,8.19828
272684,351029,284986,28.7311,4.51145
109262,142259,107525,30.1999,-1.58976
233170,244970,173818,5.06069,-25.4544
130327,114622,85747,-12.0505,-34.2063
236210,299004,249336,26.584,5.55692
173857,224996,181532,29.4144,4.41455
122681,167771,135810,36.7539,10.7017
131465,167398,131128,27.3328,-0.256342
278708,361448,282210,29.687,1.25651
171244,222814,177334,30.1149,3.55633
96073,117381,106454,22.179,10.8053
89718,117324,100501,30.7697,12.0188
70997,93608,76730,31.8478,8.07499
228883,305043,247171,33.2746,7.99011
225327,298252,249501,32.3641,10.7284
200305,279597,217296,39.5856,8.48256
260613,347385,277353,33.2953,6.42332
280209,356090,304385,27.0801,8.62785
121632,155094,120445,27.5109,-0.975895
148423,203353,143952,37.0091,-3.01234
120586,161014,125761,33.5263,4.29154
233775,326286,250949,39.5727,7.34638
139902,162554,164424,16.1913,17.528
121009,210801,132077,74.2027,9.14643
91058,117399,155743,28.9277,71.0371
96560,124554,109736,28.9913,13.6454
283127,389234,308248,37.4768,8.8727
160824,208681,172246,29.7574,7.10217
79764,107313,87663,34.5381,9.90296
65591,87633,76365,33.6052,16.426
132233,144698,114047,9.42654,-13.753
123626,161937,127843,30.9894,3.41109
202236,261748,228629,29.427,13.0506
122676,162393,126300,32.3755,2.95412
108377,142072,112514,31.0905,3.81723
82822,118286,93207,42.8195,12.5389
82588,112032,92325,35.6517,11.7898
250381,329951,253407,31.7796,1.20856
165301,216042,177061,30.6961,7.11429
201405,279672,217030,38.8605,7.758
62306,79094,62756,26.9444,0.722242
283973,369899,296181,30.2585,4.299
257709,321854,279390,24.8905,8.41298
204993,263023,211040,28.3083,2.94986
60646,77620,62013,27.9887,2.25406
67483,88302,73082,30.8507,8.2969
60878,82050,64874,34.7778,6.56395
60364,79039,64107,30.9373,6.20072
273969,357588,259148,30.5213,-5.40974
194160,272139,206418,40.1622,6.31335
30478,39894,41223,30.8944,35.2549
102596,118124,94534,15.1351,-7.85801
276059,372183,288126,34.8201,4.37117
249497,324221,264701,29.9499,6.09386
122053,165227,129246,35.3732,5.89334
131716,169762,151304,28.8849,14.8714
60763,80431,63706,32.3684,4.84341
252205,342715,283799,35.8875,12.5271
276902,433199,303091,56.4449,9.45786
99434,133044,124348,33.8013,25.0558
106784,118773,88782,11.2273,-16.8583
88930,124588,96009,40.0967,7.96019
169879,219870,192123,29.4274,13.094
222801,296053,240926,32.8778,8.13506
128737,169533,128266,31.6894,-0.365862
132570,174846,140945,31.8896,6.31742
207102,280414,218903,35.399,5.69816
203980,283075,212164,38.7759,4.01216
88224,118267,97306,34.0531,10.2943
80211,102736,84211,28.0822,4.98685
93169,119385,94812,28.1381,1.76346
249577,334447,268765,34.0055,7.68821
171516,236473,172879,37.8723,0.794678
211771,308148,253783,45.51,19.8384
132511,161123,133369,21.5922,0.647493
36476,50044,40376,37.1971,10.692
224313,289529,214260,29.0737,-4.48168
318367,361642,274386,13.5928,-13.8146
267258,341777,296241,27.8828,10.8446
268917,345315,260283,28.4095,-3.21066
162378,210692,204190,29.754,25.7498
127912,164930,128257,28.9402,0.269717
117760,189361,152005,60.8025,29.0803
248768,326070,256544,31.0739,3.1258
110540,160472,133071,45.171,20.3827
165592,217316,180030,31.2358,8.71902
172311,207813,166983,20.6034,-3.09208
269515,362450,301294,34.4823,11.7912
216196,276423,217202,27.8576,0.465319
152006,196409,154254,29.2113,1.47889
119168,164072,124740,37.6813,4.67575
91156,127208,96772,39.5498,6.16087
224005,298302,211342,33.1676,-5.653
231445,308519,254019,33.3012,9.75351
153062,208389,170398,36.1468,11.3261
84501,102710,94292,21.5489,11.5868
247148,319380,288506,29.2262,16.7341
137077,188925,148349,37.824,8.22312
210076,254629,225675,21.208,7.42541
26948,33930,29072,25.9092,7.88185
28490,34314,26919,20.4423,-5.51422
27602,34327,26059,24.3642,-5.59017
297807,382987,285737,28.6024,-4.05296
240948,318774,261931,32.2999,8.70852
85589,110837,105163,29.4991,22.8698
60156,75967,62995,26.2833,4.7194
280691,368727,283883,31.364,1.13719
233817,299141,239024,27.9381,2.22696
213908,302695,227185,41.5071,6.20687
78419,112181,89454,43.0533,14.0718
